score,gross,genre,votes
6,15934737,Comedy,1500
4.7,14155617,Comedy,1800
7.3,2013193,Animation,2900
5.5,5215015,Comedy,965
5.2,4226370,Comedy,1100
5.5,2086905,Comedy,585
5.8,11000000,Adventure,1300
6.3,6321392,Comedy,1400
5.9,4400000,Comedy,415
7.4,109749,Drama,1300
6.9,,Adventure,1000
4,59167,Drama,546
4.8,2128395,Drama,643
5.2,2806659,Comedy,351
7.9,167451,Animation,4800
5.2,14504277,Comedy,2100
6.5,804713,Comedy,269
5.8,6950125,Comedy,1900
4.3,6621520,Comedy,740
6.8,2261507,Comedy,599
6.5,1175855,Comedy,211
4.3,15198912,Comedy,593
6.7,,Action,230
8.4,389925971,Action,905000
7.4,24058838,Crime,32000
7.5,30669378,Comedy,97000
7.2,25244626,Action,131000
7.5,2956630,Horror,192000
6.2,111289673,Comedy,40000
7.4,12000000,Crime,47000
6.9,41092328,Action,42000
7.4,34971136,Adventure,59000
7.6,23668369,Action,170000
8.3,11487676,Adventure,237000
6.9,85297000,Comedy,68000
7.4,1113538,Drama,27000
6.2,72179579,Action,34000
7.4,11492915,Action,27000
4.9,32492674,Drama,7600
7,42368025,Adventure,60000
6.8,50427646,Comedy,4200
6.1,21722776,Horror,61000
6.8,14225876,Horror,51000
6.7,54813222,Action,94000
6.5,25533818,Horror,77000
6.8,35856053,Drama,17000
7.3,40382659,Biography,21000
7.6,119285432,Drama,29000
7.3,63456988,Animation,87000
7.2,59303359,Biography,56000
6.9,40716963,Drama,12000
3.4,36565280,Adventure,5300
6.7,10853418,Drama,29000
6.9,95461682,Comedy,27000
7.8,5073,Biography,19000
5.8,15965924,Comedy,7300
6.6,,Horror,11000
6.9,31672907,Comedy,47000
6.6,17985893,Horror,32000
6.7,14110013,Action,16000
6.9,1752634,Crime,5300
7.3,20962615,Adventure,21000
5.6,20471382,Horror,19000
6.7,19032261,Biography,15000
5.2,26279000,Comedy,3400
6.6,12376625,Crime,22000
7.3,14920781,Drama,9000
5.6,8279042,Horror,5200
6,6400000,Crime,4500
7.4,5732587,Adventure,38000
6.6,17374595,Action,28000
7.2,,Action,17000
6.4,14867086,Comedy,5700
6.8,123843,Horror,21000
6.3,23371905,Drama,7900
6.3,5672031,Horror,19000
5.9,7886857,Horror,13000
6.5,636796,Drama,5700
7,26890068,Drama,13000
7.2,31206251,Adventure,14000
6.3,12850276,Crime,7500
6.1,,Drama,4900
6.4,19905359,Action,18000
6.2,37000000,Comedy,7100
6.3,35610100,Action,5600
5.6,29916207,Comedy,7600
5.9,237000,Comedy,1300
7.1,17583634,Romance,9900
6.3,10626725,Horror,9400
5.5,5165432,Comedy,4400
7.5,8124257,Crime,7600
5.5,2447576,Drama,5700
6.2,15578237,Comedy,4800
7.2,110014,Music,12000
5.8,5229643,Horror,2600
6.7,29200000,Crime,5800
6,1118634,Horror,2400
6.2,,Action,4100
5.4,18826490,Comedy,2600
5.6,9566593,Comedy,2600
5.5,20259961,Comedy,4500
6,14923752,Drama,891
6.3,12042,Drama,1300
4.9,,Horror,3600
5.1,26154211,Comedy,4900
6.5,9171289,Drama,5300
7.2,,Animation,4400
5.1,12617845,Action,2000
5.2,2022771,Adventure,1300
5.6,1169875,Horror,2400
5.5,,Action,3600
6.8,3256082,Drama,1100
5.9,14492125,Drama,1600
6.5,7258543,Comedy,4500
6.1,31261269,Comedy,2900
7,2863642,Comedy,3600
4.3,2154696,Comedy,1300
5.6,11809387,Adventure,829
5,17569027,Comedy,761
6.8,1976198,Drama,1400
7.3,8206145,Comedy,2700
2.7,5200986,Drama,659
5.5,4454295,Comedy,1700
5.6,3702028,Adventure,1100
5.4,10851261,Drama,1100
6.5,25524778,Comedy,1300
5.2,2004742,Action,928
4.9,18838812,Comedy,920
5.5,1791147,Action,384
2.9,,Horror,674
5,16000000,Comedy,1200
5.8,6892098,Crime,782
5.1,,Comedy,101
5.1,12000000,Western,499
6.9,17110,Adventure,1100
6.3,1622898,Drama,228
7.2,27092880,Comedy,98000
8.1,41676878,Action,710000
8.1,19632053,Horror,382000
6.9,68851475,Action,141000
7.8,792910554,Family,381000
7.7,125212904,Action,234000
7,129795554,Drama,52000
4.4,15171476,Comedy,34000
6.6,57063861,Comedy,41000
7.3,77142388,Horror,148000
6.9,78868508,Action,73000
7.7,78912963,Action,115000
4.9,5588800,Adventure,2500
6.3,5829781,Comedy,8100
7.6,30036000,Drama,44000
8,52767889,Biography,220000
7.4,177200000,Comedy,100000
6.8,33000525,Action,115000
7.6,14665733,Animation,37000
7.8,2536242,Comedy,94000
6.8,125052686,Drama,179000
6.2,14056528,Action,22000
6.9,21028755,Comedy,44000
7.3,20659423,Adventure,8200
8,22265763,Drama,78000
6.2,7000000,Fantasy,20000
8.1,6795771,Drama,59000
5.7,36690067,Horror,49000
6,46708276,Action,26000
5,14400000,Horror,45000
7.2,41630431,Adventure,63000
7.7,53993738,Drama,37000
6.1,2032311,Horror,9300
4.9,16897768,Comedy,6500
5.9,20225989,Comedy,2800
7.2,29712172,Comedy,25000
7.1,14099953,Comedy,19000
6,69701637,Comedy,10000
7.1,10278575,Drama,20000
6.6,21095638,Comedy,15000
5.7,4968000,Comedy,3900
7.6,28229046,Comedy,20000
7.4,6455330,Animation,25000
6.7,13277558,Drama,15000
6.2,27150534,Comedy,50000
5.8,47118057,Comedy,11000
6,10604986,Horror,7800
7.1,6110670,Crime,15000
5.6,39103425,Action,5700
6,16100000,Action,15000
5.5,10490791,Action,5300
3.7,5675599,Action,3400
6.3,5672311,Drama,2600
6.9,18196170,Comedy,21000
5.5,12534817,Horror,11000
7.7,14000000,Biography,19000
7.3,,Biography,7300
4.9,11378339,Thriller,1100
6.7,5301539,Comedy,3500
7,19282134,Comedy,13000
6.5,7400000,Drama,2000
3.6,,Horror,1700
5.9,1515578,Crime,1500
6.5,5005245,Comedy,2200
5.5,30688860,Comedy,3000
7.4,20123620,Comedy,9000
6.1,5979947,Crime,4300
3.9,2270,Horror,2300
6.9,11897978,Drama,2500
6.6,4484991,Comedy,8200
5.6,7742572,Horror,3700
7.2,840958,Comedy,4200
6.4,2666873,Action,3000
5,9056073,Comedy,9800
6,1054328,Drama,1800
6.4,6118683,Crime,6100
6,15782759,Comedy,1900
6.6,9077269,Comedy,19000
6.5,13253583,Action,2000
5.5,36821203,Comedy,2700
6.9,9217530,Drama,2500
5.1,946461,Comedy,684
6.4,1736123,Western,1500
5.7,13258670,Horror,3800
4.9,2370376,Comedy,501
4.7,10054150,Comedy,2000
5.6,9823934,Action,2400
6.2,13111101,Comedy,5100
6.5,263635,Drama,768
6.3,2977706,Action,2000
5.3,6328816,Action,1100
5.7,3583513,Comedy,1800
5.7,6668025,Drama,818
7,3700,Drama,3000
6.2,3792188,Sci-Fi,1100
5.6,6660333,Action,2900
6.2,7241180,Comedy,2100
6.2,143369,Comedy,683
6.5,8000000,Drama,1300
5.9,1474249,Drama,914
6,21134374,Action,3100
3.5,2914328,Comedy,322
4.7,2869638,Comedy,984
7.4,3723036,Biography,4100
5.7,16894678,Action,1500
5.8,23671186,Comedy,1400
6.5,42914,Crime,3000
6.1,199078,Drama,1000
4.4,3178542,Crime,538
6.8,8693512,Biography,785
5.3,6062898,Comedy,1200
7.7,36299720,Comedy,3900
7.1,78350,Animation,1800
5.1,12408066,Crime,838
3.9,2279543,Comedy,653
6.2,6968359,Comedy,895
7.2,3783329,Drama,1300
6.1,3355948,Action,460
5.8,22440,Sci-Fi,665
6.8,,Animation,352
6.3,5124391,Animation,256
5.7,,Crime,253
3.8,,Comedy,651
7,,Drama,240
6.7,,Comedy,75
6.8,777087,Comedy,336
8.3,65884703,Crime,766000
7.1,25697647,Crime,78000
8.3,475106177,Action,973000
6.8,63541777,Comedy,83000
7.4,61399552,Adventure,100000
7.5,90404800,Comedy,141000
5,59950623,Action,66000
7.2,56399659,Comedy,34000
4.7,64892670,Drama,15000
3.7,87987055,Adventure,41000
6.7,21017849,Horror,75000
6.3,,Horror,28000
6.2,92921203,Drama,50000
7.1,79567667,Action,93000
7.8,21192315,Adventure,57000
6.1,16916617,Action,31000
4.9,24071666,Comedy,2800
7.2,20766616,Drama,65000
6.5,67893619,Action,98000
5.3,14049540,Comedy,6100
6.4,17343596,Comedy,14000
7.2,2494480,Crime,32000
7.2,2120439,Horror,86000
7.4,108423749,Comedy,57000
6.5,29450919,Horror,34000
6.2,55432841,Action,63000
7.9,20653717,Comedy,134000
6.1,21156152,Horror,41000
6.6,67642693,Action,42000
6.7,5988322,Drama,24000
6.6,64783827,Comedy,22000
6.4,42313354,Action,18000
5.9,19910002,Action,8700
6.5,34725000,Crime,25000
7.4,5899678,Comedy,22000
7.2,9190819,Crime,14000
7.2,35615609,Biography,19000
5.9,17233166,Drama,16000
5.7,4218594,Drama,11000
5.2,22587834,Comedy,3300
6.6,40218899,Drama,13000
6.6,760883,Animation,10000
6.9,4786789,Drama,6900
6,4300000,Action,7500
7.5,14949697,Comedy,115000
8.1,55269,Drama,24000
5,20307325,Comedy,3200
3.5,5678950,Action,8200
4.6,11919250,Action,4600
5,33759266,Comedy,11000
6.8,8400000,Fantasy,8600
7.4,8443124,Drama,9700
6.7,6472990,Biography,6000
6.7,15856028,Crime,13000
6.3,12232628,Action,11000
6.3,29309766,Comedy,8200
7.3,2306560,Drama,16000
4.9,1246141,Comedy,4200
4.7,2082215,Comedy,3000
6.4,10219460,Sci-Fi,11000
6.4,10353438,Comedy,25000
5.7,17488564,Action,2900
6.3,7175592,Crime,7200
6.4,30503151,Action,9300
5.2,10375893,Comedy,5400
5.2,4319001,Horror,1900
4.9,13000000,Action,3700
5,1402962,Adventure,1500
4.7,23646952,Comedy,3900
5,6149983,Action,2100
5.5,16478265,Action,5500
6.1,28445927,Adventure,5100
7.5,29600000,Adventure,7800
7.1,694497,Comedy,3300
6.5,30379,Animation,3400
4,10676194,Adventure,3600
7.2,14648076,Comedy,13000
4.3,5563663,Drama,1200
7,5696391,Drama,7200
4.1,6333135,Horror,6000
7,2044892,Drama,5800
5.9,6486797,Action,8200
6.1,13168027,Action,4700
7.7,11798616,Comedy,41000
6.5,,Drama,458
4.6,,Action,2300
6.8,13030214,Comedy,10000
6,123572,Drama,3100
4.7,724912,Adventure,1100
5.6,15543710,Comedy,7400
4.4,2810199,Action,2900
6.1,1080470,Horror,2900
4.3,4491986,Comedy,5700
5.5,16134627,Action,4400
5.7,5997566,Drama,1200
5.8,14000000,Comedy,4700
3,1223200,Drama,938
6.3,5555305,Crime,6500
7.6,5310748,Drama,4900
6.6,11787127,Thriller,2600
7,,Biography,1700
5.3,10964740,Comedy,2200
5.8,6670680,Horror,3000
4.6,10369581,Comedy,3600
5.7,1262691,Action,1100
6.6,17613720,Comedy,3300
4.9,6347072,Comedy,2100
6.3,1867792,Comedy,1700
6.6,1772889,Drama,1600
5.2,,Comedy,1700
6.6,687475,Drama,1200
6.7,272278,Biography,1300
5.9,5269990,Drama,701
6.7,1645711,Comedy,1100
6.2,1963756,Action,2100
5.5,1362303,Horror,2700
6,12049514,Adventure,2100
3.8,5301085,Action,1600
3.7,975414,Comedy,208
6.8,1530839,Drama,1600
5.8,,Comedy,115
5.2,10171304,Comedy,747
6.7,3000000,Biography,659
5.1,1818910,Drama,786
5.3,4304286,Comedy,456
4.3,1723487,Action,617
3.8,2443487,Action,513
6.1,2439705,Drama,681
5.2,6857733,Comedy,786
4.7,,Action,460
6.1,2314561,Drama,368
6.3,,Drama,661
4.9,108128,Crime,360
6,,Drama,235
7.3,16156776,Comedy,2200
4.9,,Action,300
7.2,26177,Drama,826
5.4,,Comedy,169
4.5,,Action,131
5.4,,Thriller,182
5,,Comedy,275
6.7,,Drama,51
5.3,6666725,Drama,313
8.3,,History,79
8,78371200,Action,812000
6.5,30925690,Action,132000
7.8,296187079,Action,365000
7.3,91119319,Action,205000
8.4,5473212,Crime,321000
6.7,81198894,Comedy,118000
7.5,333107271,Action,459000
6.8,8801940,Crime,30000
7.5,25507137,Horror,212000
8.3,52066791,Biography,377000
7.3,316360478,Action,171000
6.4,38376497,Action,53000
7.4,20251411,Adventure,135000
6.6,80039064,Drama,73000
6.6,40874452,Comedy,50000
7.3,153633143,Comedy,204000
6.9,86572238,Action,86000
6.7,8089290,Action,19000
7,23686027,Comedy,108000
8.1,2207548,Drama,96000
7.9,4736202,Comedy,132000
7.1,8430492,Drama,68000
7.2,20458340,Comedy,62000
5.9,31042035,Action,77000
5.6,14568989,Horror,49000
6.8,28733290,Action,39000
6.3,69821334,Comedy,71000
7.6,4228292,Crime,91000
7.5,47951979,Drama,46000
6.3,38435947,Comedy,36000
8.1,8736506,Animation,157000
6,32980880,Horror,47000
4.9,7121719,Comedy,3200
5.9,21689062,Action,11000
4.4,14296438,Action,19000
7,8613462,Adventure,25000
6.1,17080167,Action,30000
5.6,4654423,Horror,11000
6,25348610,Comedy,15000
5.9,6770587,Action,12000
6.4,6254148,Adventure,25000
6.7,76471046,Action,76000
6.9,129000,Action,35000
6.8,40400657,Adventure,50000
7.8,34700291,Biography,53000
6.5,25928721,Crime,17000
7,28744356,Romance,44000
6.4,14418922,Comedy,19000
5.8,18644570,Comedy,10000
6.3,12145169,Action,14000
6.4,2912945,Drama,6600
6.1,8103330,Adventure,15000
7.4,34901614,Drama,11000
3,8914881,Comedy,5100
5.1,28078073,Action,15000
7.5,2436000,Comedy,36000
5.7,14255801,Action,10000
7.3,27201487,Adventure,18000
6.5,70263155,Drama,20000
6,5142858,Comedy,8000
7.1,876775,Crime,7700
4.9,5778353,Adventure,4600
5.5,22812411,Action,14000
6.4,45858563,Adventure,18000
6.9,25534703,Adventure,20000
6.1,11020375,Comedy,2500
6.5,11129057,Drama,13000
5.3,1337274,Action,2700
5.8,38682707,Comedy,6000
7.3,1455045,Drama,22000
6.7,4389334,Drama,15000
4.2,,Comedy,8400
6.5,2193612,Comedy,7100
6.6,,Action,7000
6.7,6045647,Comedy,4200
5.9,2491460,Horror,14000
6.7,6836201,Action,8000
6.7,36403064,Comedy,17000
5.4,4743119,Drama,1800
4.1,10530000,Comedy,983
6.3,8289916,Comedy,1900
6.3,48143579,Crime,16000
3.9,21435321,Comedy,7000
6.2,23859382,Comedy,5000
5.6,11708269,Comedy,3300
5.9,6650206,Drama,4400
6.5,16595791,Drama,3600
3.7,4463841,Comedy,705
5.1,15101131,Comedy,3900
6.6,6551987,Drama,5100
5.8,11302884,Action,4100
6.5,25068724,Comedy,11000
5.4,7610785,Action,4200
4.3,2886225,Adventure,1700
6,13102025,Action,3600
6.2,6250994,Drama,2300
5.7,,Adventure,2100
6.1,27774237,Comedy,4000
8.3,,Drama,4100
6.3,11489982,Drama,6500
6,150463,Horror,6100
7.2,21821347,Crime,9300
6.7,1057368,Comedy,1900
3.7,5410972,Comedy,2300
5.9,17513452,Action,2200
5.8,12414210,Comedy,2900
5.5,38348988,Action,9300
7,2556800,Drama,5100
6.1,7343032,Drama,5300
6.4,3854833,Action,2300
6.1,7828841,Drama,2000
6.4,727639,Comedy,3000
4.8,2732684,Comedy,619
5.3,8793152,Comedy,3000
5.8,10435015,Crime,1600
6.8,3677209,Comedy,5700
5.5,4994094,Comedy,2000
7.4,10600497,Comedy,24000
3.8,19265302,Comedy,5600
6,26080861,Comedy,2800
5.5,26186631,Comedy,4600
4.5,3739406,Action,2000
6.6,5021751,Comedy,1400
6.3,5718573,Comedy,6800
6.8,2490233,Comedy,2600
5.7,4561346,Comedy,1300
7.4,15726,Comedy,4200
6,19928200,Comedy,2600
5.9,2773433,Horror,1300
6.1,4385312,Drama,3000
6.4,1493782,Comedy,1500
6.7,9640000,Drama,1800
4.7,3772785,Comedy,3900
5.8,2075282,Drama,816
5.2,1393501,Drama,1400
6.3,865915,Drama,599
5.4,1467396,Comedy,856
6.3,1009700,Drama,1800
3.7,1689501,Drama,446
6.3,1142944,Adventure,866
5.9,7889694,Comedy,807
5.7,4239154,Drama,634
5.2,129268,Adventure,1200
7.9,,Comedy,2700
6,1525532,Drama,440
5.8,1059966,Drama,822
5.7,1820049,Drama,794
6.5,2527088,Comedy,2600
4.5,526805,Comedy,212
5.4,21538850,Comedy,2400
6.3,162364,Drama,653
5.2,1839623,Drama,733
5.9,148750,Drama,456
6.5,200498,Biography,586
7.6,2411143,Drama,2500
6.6,1945658,Drama,952
5.8,343890,Drama,262
5.3,,Comedy,241
6.1,2687148,Biography,270
3.8,21058033,Comedy,424
5.7,837914,Comedy,1400
6.9,,Drama,94
5.7,,Comedy,184
7.3,2729,Drama,67
5.1,95000,Comedy,216
5.1,,Animation,73
5.1,,Comedy,172
6.2,127426,Comedy,105
6.6,38934048,Comedy,83000
7.8,63980721,Adventure,252000
8.5,381906762,Adventure,1100000
7.3,17307019,Action,31000
7.3,14643997,Comedy,88000
7.8,51525171,Comedy,367000
6.7,85313124,Comedy,59000
6.5,300400432,Action,159000
7.2,48230162,Biography,27000
6.4,15502112,Adventure,62000
7.3,14237880,Comedy,56000
6.4,37803872,Drama,38000
7.9,9949953,Drama,191000
7.3,41410568,Drama,55000
6.1,33086611,Comedy,48000
7,12952019,Comedy,31000
6.7,57491000,Action,150000
7.4,68706993,Crime,89000
7.8,98467863,Drama,81000
7.2,32192570,Action,40000
6.9,300473716,Drama,192000
7.1,10297601,Comedy,42000
8.2,4164283,Action,117000
7,18432000,Adventure,44000
7.3,21041453,Drama,41000
5.1,6951415,Action,39000
7.1,24922237,Fantasy,63000
6.5,9873044,Adventure,20000
6.7,,Adventure,17000
6.3,36230219,Action,129000
7.7,10609321,Comedy,63000
6.3,50327960,Action,91000
6.9,59612888,Comedy,49000
4.5,12918858,Drama,4800
5.5,29999213,Horror,63000
6.3,24689703,Comedy,15000
6.2,11603545,Action,24000
7,40940662,Adventure,50000
7.2,227514205,Biography,75000
7.1,5000000,Horror,65000
6.5,11528900,Comedy,15000
6.2,49364621,Adventure,60000
6.4,60088980,Adventure,45000
6.2,19444631,Comedy,24000
5.8,55600000,Comedy,53000
6.4,21288692,Animation,33000
4.8,21930418,Horror,35000
7.2,7683620,Action,28000
7.2,2023414,Comedy,59000
6.5,45833132,Comedy,36000
6.9,25754284,Action,13000
6.6,3099497,Action,9200
6,27398584,Comedy,22000
6,6326051,Comedy,10000
6.6,12993175,Drama,8100
6.5,40491165,Drama,14000
6.9,12303411,Action,45000
6.1,9369329,Action,4400
5.5,19875740,Adventure,8900
6.1,96773200,Action,53000
5.5,10000000,Comedy,14000
5.3,331816,Comedy,7900
7.6,113164,Action,31000
6.5,7562164,Action,11000
7,18135531,Comedy,20000
6.7,42160849,Drama,6900
6.5,8692426,Comedy,5900
6.4,12361866,Horror,25000
7.4,17009654,Drama,15000
6.9,2455535,Comedy,15000
6.8,19739575,Adventure,20000
6.5,16785,Drama,2200
4.8,20518905,Comedy,8100
6.9,18707466,Action,14000
6.7,26657534,Comedy,23000
6.8,2123135,Drama,25000
8,444213,Comedy,17000
4.3,,Horror,3400
6.6,8622757,Comedy,6600
5.7,4662137,Action,16000
6.3,7840873,Family,12000
8,569996,Biography,10000
6.2,14202899,Drama,9300
6.3,13086298,Comedy,23000
7,30867525,Comedy,5600
6.9,6070794,Comedy,4100
6.5,1420355,Drama,5700
7,9708373,Adventure,5600
6.5,19632,Comedy,1800
6.7,91666,Comedy,7500
6.2,10806919,Action,7000
5.9,16116878,Action,14000
5.2,15057465,Action,13000
5.5,10499694,Action,14000
6.9,24468550,Action,9600
5.7,393825,Action,3100
6.8,17130087,Biography,11000
5,7196872,Comedy,6900
7,2492088,Drama,5500
6.3,3852271,Comedy,4600
7.7,10631333,Comedy,48000
5.7,8645411,Comedy,15000
7.6,8349284,Drama,19000
6,4122748,Action,5500
6.1,,Comedy,1500
5.3,3333306,Comedy,2200
6.1,199108,Crime,2900
4.7,14100000,Comedy,1400
5.5,17536256,Action,9200
5.3,358574,Adventure,6500
7,10179000,Comedy,8200
6.6,390659,Thriller,14000
5.7,10627754,Comedy,3800
5.3,2278264,Horror,4000
6.1,836156,Drama,2400
5.1,14972297,Adventure,3100
6.1,20345361,Action,7300
5.7,5101,Comedy,5300
4.4,5730596,Action,3900
7.1,9085049,Biography,4400
4.5,1878561,Comedy,1000
4.8,5622787,Action,1400
6.3,23717291,Adventure,12000
6.2,8630068,Crime,2200
6.6,25627836,Drama,6900
6.5,6090497,Comedy,2100
7.4,849915,Animation,2700
5.7,8489518,Action,1900
5.3,3558669,Fantasy,2900
4.5,441137,Comedy,1800
6.2,4116395,Action,6100
6,6148000,Drama,2800
5.3,5111099,Adventure,2100
7.5,7491903,Drama,4300
5.3,10755447,Action,7900
5.7,981817,Action,4200
6.1,4349446,Crime,3800
6,3594997,Comedy,3700
7.8,69832,Drama,8800
6.5,11052713,Comedy,2900
7.3,7660857,Animation,2600
6.1,1918117,Drama,2300
6.2,5349607,Comedy,3000
7.7,35336,Drama,2500
7.8,34751,Drama,9000
5.5,1304192,Adventure,1200
6.5,3360800,Animation,2100
5.4,2564278,Comedy,993
4.5,1057064,Action,1800
5.7,22934622,Animation,5200
6.4,385687,Drama,404
5.6,220038,Action,1600
6.5,8402424,Drama,1000
6.7,2174622,Biography,2500
6.1,1256862,Adventure,2300
6.5,13677222,Family,3400
5.8,,Comedy,610
5.4,29815,Comedy,1200
6.2,421201,Drama,511
4.1,618847,Drama,243
6.1,147070,Crime,1100
5.4,3393807,Comedy,1400
7,305102,Drama,1400
6.8,1215923,Biography,1500
6.5,750000,Thriller,2100
4.6,2685453,Comedy,1200
6.8,1299985,Drama,1400
5.9,12531831,Comedy,953
6.9,4889971,Animation,1100
6,,Action,1100
6.6,2052466,Comedy,3400
5.1,,Action,386
4.1,2864844,Drama,434
7.6,,Drama,804
5.2,1381091,Action,487
6.9,,Comedy,1300
5.9,561548,Action,934
7.5,2357,Biography,2800
5,,Action,301
6.7,2507995,Biography,861
4.2,372438,Comedy,468
4.7,345280,Comedy,760
6.1,,Drama,122
6.9,2156772,Comedy,726
6.4,,Comedy,701
5.3,,Comedy,128
4.8,,Action,134
5.1,,Comedy,351
6.6,542420,Comedy,545
6.8,,Drama,214
6.3,202428,Comedy,155
6.9,6565359,Animation,207
6.6,,Adventure,192
6.5,,Drama,339
6.6,,Comedy,91
4.6,,Thriller,100
6.9,,Drama,397
6.4,,Comedy,166
5.4,,Drama,51
5.6,,Drama,139
6.9,357288178,Action,306000
8.3,131060248,Action,668000
8.1,52287414,Adventure,374000
7.8,70720215,Comedy,330000
6.6,328203506,Action,96000
7.4,13915874,Adventure,127000
7.1,5900712,Action,127000
7.3,11100577,Action,128000
6.8,40479480,Comedy,76000
8.1,138545632,Drama,389000
7.7,8618766,Drama,186000
7.2,8621783,Crime,68000
4.7,37962774,Action,44000
7.6,60629159,Drama,165000
7,38983045,Comedy,68000
6.6,14302779,Adventure,28000
6.1,115103979,Action,82000
7,4600000,Crime,17000
6,6735922,Drama,39000
6,79817937,Action,53000
7.3,109713132,Action,81000
6.7,40697761,Comedy,58000
5.6,17768900,Action,19000
7.7,7153487,Crime,104000
6,3500000,Action,15000
7,52293982,Drama,77000
7.5,28607524,Drama,44000
6.9,42724017,Drama,41000
6.9,18564613,Adventure,45000
5.8,49042224,Action,69000
6.4,41488348,Comedy,34000
7.4,17502499,Adventure,57000
6.6,1777378,Drama,780
6.2,15448384,Drama,13000
6.5,39246734,Comedy,70000
5.5,7433663,Action,31000
6.9,8200000,Comedy,15000
6,19472057,Horror,40000
6.4,54999651,Comedy,54000
6.6,91258000,Comedy,29000
7.4,2016851,Drama,19000
6.2,38702310,Comedy,15000
6.1,13167232,Comedy,32000
5.6,8025872,Comedy,29000
5.5,24159872,Action,14000
6.4,13431806,Comedy,14000
6.7,1261000,Horror,24000
7,2850707,Biography,30000
7,609939,Biography,33000
7.3,5794184,Crime,14000
5.4,43579163,Comedy,43000
6.8,591366,Comedy,22000
8.1,167292,Drama,26000
7.2,5844868,Action,45000
6.9,2015882,Drama,5600
6.9,84542002,Animation,50000
5.7,9697739,Adventure,13000
5.6,16209459,Action,32000
7.9,40084041,Comedy,68000
7.2,38625550,Animation,46000
6.9,71624879,Comedy,27000
7.3,5860601,Animation,38000
6.1,26285544,Comedy,12000
4.5,5450815,Comedy,9500
7,2347000,Crime,15000
6.5,7177431,Drama,5600
6.9,8362969,Comedy,17000
6.1,25314189,Comedy,10000
7.1,5839031,Drama,15000
5.4,1953732,Adventure,6200
6.8,7137502,Comedy,13000
6.5,38500726,Action,12000
5.8,1305114,Action,4700
5.3,27820000,Comedy,7800
7.7,1504286,Comedy,49000
5.7,40996665,Horror,26000
7.3,58731,Crime,7500
5.4,14481606,Horror,14000
4.6,3751699,Action,9000
7,13299749,Adventure,11000
6.6,5478,Biography,5500
7.2,31853080,Drama,15000
5.6,4884663,Horror,8200
7,286126,Drama,11000
6.2,62134225,Comedy,16000
6.2,12947763,Horror,15000
6.5,17685307,Comedy,12000
6.1,1641825,Action,8100
5.7,12303904,Crime,7000
7.1,277646,Biography,6300
5.1,12308521,Comedy,5900
8,3940542,Drama,21000
5.7,916172,Drama,7400
5.7,15945534,Action,11000
6.7,20603715,Action,18000
3.9,4711220,Action,5600
5.8,,Adventure,3100
5.7,8475466,Comedy,5500
4.8,1579260,Action,4100
6.2,3900000,Sci-Fi,5600
5.8,6797218,Comedy,6200
5.2,,Comedy,976
5.9,29844101,Comedy,19000
6.5,4636169,Drama,1500
6.3,36611610,Comedy,12000
7.2,2545459,Comedy,6100
7.7,5274,Animation,10000
6,9947631,Action,5100
5.6,8988731,Drama,6900
8,4940939,Comedy,24000
5.4,2510433,Crime,2200
6.2,4865912,Action,2800
5.9,4941117,Comedy,5100
5.9,32324557,Comedy,6600
5.7,320256,Comedy,6600
5.7,7634909,Crime,4500
